,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,ATOM-USD,0.296774740849565,12.0
1,SNX-USD,COMP-USD,0.050249845223768644,16.0
2,XTZ-USD,ZEC-USD,0.028660019675908536,15.0
3,XTZ-USD,UMA-USD,0.5025888299655981,15.0
4,ICP-USD,ATOM-USD,0.4844364600129533,18.0
5,ICP-USD,ALGO-USD,33.763754965841116,18.0
6,ICP-USD,UMA-USD,2.5340274354185186,16.0
7,ICP-USD,DOT-USD,0.8382505950691889,13.0
8,ETC-USD,UMA-USD,11.225667323816447,15.0
9,ETC-USD,BTC-USD,0.0005223716434975729,24.0
10,ETC-USD,ETH-USD,0.009640647574934371,7.0
11,ZEC-USD,EOS-USD,42.56497897812589,7.0
12,ZEC-USD,BTC-USD,0.000815995505091716,9.0
13,ZEC-USD,DOGE-USD,399.6282471410823,12.0
14,ZEC-USD,1INCH-USD,84.39827459880519,23.0
15,ZEC-USD,ETH-USD,0.015044164079404298,18.0
16,LINK-USD,UMA-USD,8.09498242470811,23.0
17,ATOM-USD,UMA-USD,5.229543220602715,8.0
18,ATOM-USD,DOT-USD,1.729378158576408,10.0
19,BCH-USD,XLM-USD,1940.1086264832886,11.0
20,BCH-USD,XMR-USD,1.4249675289793147,17.0
21,BCH-USD,SUSHI-USD,238.55528605019472,19.0
22,BCH-USD,AAVE-USD,2.541554646695437,23.0
23,CELO-USD,SUSHI-USD,0.5527926469640504,9.0
24,RUNE-USD,YFI-USD,0.0005208077319067174,22.0
25,RUNE-USD,AVAX-USD,0.27765349576158954,14.0
26,FIL-USD,ALGO-USD,35.57319272011049,15.0
27,FIL-USD,MATIC-USD,5.717341429427381,20.0
28,COMP-USD,EOS-USD,74.97134506309618,10.0
29,COMP-USD,ADA-USD,146.91346397692593,10.0
30,COMP-USD,UNI-USD,10.311623494294452,9.0
31,EOS-USD,UMA-USD,0.4115311697968126,20.0
32,EOS-USD,DOT-USD,0.13613448108138754,21.0
33,EOS-USD,DOGE-USD,9.386988479804408,7.0
34,EOS-USD,UNI-USD,0.13746117309934575,14.0
35,SUSHI-USD,BTC-USD,2.7735025932642465e-05,19.0
36,SUSHI-USD,DOGE-USD,13.573053860247676,22.0
37,SUSHI-USD,LTC-USD,0.013835238401422773,20.0
38,ADA-USD,UNI-USD,0.07015982354245878,8.0
39,ADA-USD,1INCH-USD,1.012700297509845,6.0
40,UMA-USD,DOT-USD,0.33051604841591586,6.0
41,UMA-USD,UNI-USD,0.33356954993255383,13.0
42,UMA-USD,ETH-USD,0.0008572350158947049,20.0
43,CRV-USD,UNI-USD,0.11299420872762653,8.0
44,LTC-USD,AAVE-USD,0.7634756065655927,12.0
